LastName, FirstName, Course
Thompson, Richard  P. , Natural Resources Management and Environmental Sciences
Thorncroft, Glen E. , Mechanical Engineering
Thulin, Andrew J. , College of Agriculture, Food and  Environmental Sciences
Toker, Umut  , Architecture
Tomanek, Lars  , Biological Sciences
Torres-Bustamente, Cesar  , Landscape Architecture
Trice, Tom R. , History
Trudell, Carmen Gayle , Architecture
Tseng, Marilyn  , Kinesiology
Tubeleih, Ashraf  , Horticulture and Crop Science
Tully-Doyle, Ryan  , Mathematics
Turner, Clark S. , Computer Science
Twomey, Colleen Larkin , Graphic Communication
Vagnoni, David  , Animal Science
Vakalis, Ignatios  , Computer Science
Valencia-Laver, Debra L. , College of Liberal Arts, Psychology and  Child Development
Vasilaky, Kathryn N. , Economics
Vees, Dina  , Graphic Communication
Velasquez, Gloria  , World Languages and Cultures
Ventura, Alison K. , Kinesiology
Ventura, Jonathan  , Computer Science
Verma, Priya O. , Natural Resources Management and Environmental Sciences
Vernon, J. Scott  , Agricultural Education and Communication
Villablanca, Francis X. , Biological Sciences
Vokos, Stamatis  , Physics
Volpe, Richard  , Agribusiness
Vredevoe, Larisa K. , Biological Sciences
Waitinas, Catherine  , English
Waldorf, Daniel  , Industrial and Manufacturing Engineering
Walker, John L. , Statistics
Wallace, Robert  , Philosophy
Walter, Ryan K. , Physics
Wang, Xuan  , Industrial and Manufacturing Engineering
Wang, Cindy  , Marketing
Wang, Long  , Civil and Environmental Engineering
Ward, Sandra M. , Chemistry and Biochemistry
Watts, David J. , Landscape Architecture
Watts, Katharine R. , Chemistry and Biochemistry
Weber, Paul A. , Construction Management
Weber, TJ  , Marketing
Wendt, Dean E. , College of Science and Mathematics, Biological Sciences
Werner, James  , Art and Design
Westermann, Kimberly  , Accounting
Westphal, Russell  , Mechanical Engineering
White, Crow  , Biological Sciences
White, Matthew E. , Mathematics
White, Emily  , Architecture
White, Corey D. , Economics
White, Arthur  , Music
Whitt, Michael D. , Biomedical Engineering
Widmann, James M. , Mechanical Engineering
Wilkinson, Steven P. , Chemistry and Biochemistry
Williams, Jean M. , Political Science
Williams, Amber D.  , Psychology and Child Development
Wilson, Stewart  , Natural Resources Management and Environmental Sciences
Winstead, Candace R. , Biological Sciences
Wissel, Stephanie  , Physics
Wolf, Marianne McGarry , Agribusiness
Wong, Jeffrey C. , Horticulture and Crop Science
Woo, Jeong  , Construction Management
Wood, Zoe J. , Computer Science
Wood, Leah  , School of Education
Woodruff, Christopher  , Music
Wright, Ava  , Philosophy
Wroldsen, Jack  , Accounting
Wu, Xi  , Mechanical Engineering
Xing, Siyuan  , Mechanical Engineering
Yang, Tao H. , Industrial and Manufacturing Engineering
Yeh, Grace I. , Ethnic Studies, Communication Studies
Yep, Alejandra  , Biological Sciences
Yeung, Po Sai Marie  , Biological Sciences
Yeung, Vincent  , Animal Science
Yip, Christopher L. , Architecture
Yongcheng, Zhan  , Management, HR, and Information Systems
York, Jonathan  , Industrial Technology and Packaging
Yoshinobu, Stan  , Mathematics
Yost, Jennifer M. , Biological Sciences
Yu, Xiao-Hua ,  (2000
Zambrano, Eduardo  , Economics
Zhang, Ning  , Political Science
Zhang, Shanju  , Chemistry and Biochemistry
Zhang, Xiaozheng ,  (2003
Zigler, David F. , Chemistry and Biochemistry
Zoerb, Matthew C. , Chemistry and Biochemistry
Zoller, David J. , Philosophy
